1.461328	1.581254	we
1.581254	1.849979	met
1.954359	2.158679	in
2.325243	2.589526	nine-
2.685023	2.884901	-teen
2.918214	3.089220	se-
3.089220	3.226914	-ven-
3.226914	3.320190	-ty
3.320190	3.679970	si-
3.679970	4.021982	-x
4.021982	4.341787	at
4.341787	4.550548	the
4.550548	4.703787	du-
4.703787	4.763751	-ke
4.763751	4.841481	u-
4.841481	4.921432	-ni-
4.921432	5.110205	-ver-
5.110205	5.270107	-si-
5.270107	5.394476	-ty
5.394476	5.521065	a-
5.521065	5.623224	-c-
5.623224	5.707617	-tual-
5.707617	5.758697	-ly
5.758697	5.898611	o-
5.898611	6.020759	-ff
6.020759	6.231741	ca-
6.231741	6.336121	-m-
6.336121	6.438281	-pu-
6.438281	6.558208	-s
